pair_id,idx_9000nm,idx_11000nm,distance_m,fpa_wl0,fpa_wl1,n_matches,n_inliers,inlier_ratio,mean_conf
43470_40532,43470,40532,4.359350464530866,13.5,12.1,784,784,1.0,0.9915475845336914
43471_40532,43471,40532,4.359350464530866,13.5,12.1,784,784,1.0,0.991572916507721
43472_40532,43472,40532,4.359350464530866,13.5,12.1,784,784,1.0,0.9915102124214172
43473_40532,43473,40532,4.359350464530866,13.5,12.1,784,784,1.0,0.9913205504417419
43454_40532,43454,40532,4.359350464530866,13.5,12.1,784,784,1.0,0.9928884506225586
43455_40532,43455,40532,4.359350464530866,13.5,12.1,784,784,1.0,0.9928345680236816
43456_40532,43456,40532,4.359350464530866,13.5,12.1,784,784,1.0,0.9927960634231567
43457_40532,43457,40532,4.359350464530866,13.5,12.1,784,784,1.0,0.9926663041114807
43458_40532,43458,40532,4.359350464530866,13.5,12.1,784,783,0.9987244897959183,0.992583155632019
43459_40532,43459,40532,4.359350464530866,13.5,12.1,784,784,1.0,0.9924604296684265
43462_40532,43462,40532,4.359350464530866,13.5,12.1,784,784,1.0,0.9922416806221008
43463_40532,43463,40532,4.359350464530866,13.5,12.1,784,784,1.0,0.9921459555625916
43464_40532,43464,40532,4.359350464530866,13.5,12.1,784,784,1.0,0.9920333027839661
43465_40532,43465,40532,4.359350464530866,13.5,12.1,784,784,1.0,0.9918220639228821
43466_40532,43466,40532,4.359350464530866,13.5,12.1,784,784,1.0,0.9917384386062622
43467_40532,43467,40532,4.359350464530866,13.5,12.1,784,784,1.0,0.99170982837677
43468_40532,43468,40532,4.359350464530866,13.5,12.1,784,784,1.0,0.9916965961456299
43469_40532,43469,40532,4.359350464530866,13.5,12.1,784,784,1.0,0.9916084408760071
43438_40532,43438,40532,4.359350464530866,13.5,12.1,784,784,1.0,0.9939126968383789
43439_40532,43439,40532,4.359350464530866,13.5,12.1,784,784,1.0,0.9938547611236572
43440_40532,43440,40532,4.359350464530866,13.5,12.1,784,784,1.0,0.993796706199646
43441_40532,43441,40532,4.359350464530866,13.5,12.1,784,784,1.0,0.9936953186988831
43442_40532,43442,40532,4.359350464530866,13.5,12.1,784,784,1.0,0.9936685562133789
43443_40532,43443,40532,4.359350464530866,13.5,12.1,784,784,1.0,0.9936257004737854
43423_40532,43423,40532,4.359350464530866,13.5,12.1,784,784,1.0,0.9938049912452698
43424_40532,43424,40532,4.359350464530866,13.5,12.1,784,784,1.0,0.9938326478004456
43425_40532,43425,40532,4.359350464530866,13.5,12.1,784,784,1.0,0.9938914179801941
43426_40532,43426,40532,4.359350464530866,13.5,12.1,784,784,1.0,0.993916392326355
43427_40532,43427,40532,4.359350464530866,13.5,12.1,784,784,1.0,0.9939223527908325
43460_40532,43460,40532,4.359350464530866,13.5,12.1,784,779,0.9936224489795918,0.9923615455627441
43461_40532,43461,40532,4.359350464530866,13.5,12.1,784,784,1.0,0.9922640919685364
43446_40532,43446,40532,4.359350464530866,13.5,12.1,784,784,1.0,0.9934579730033875
43447_40532,43447,40532,4.359350464530866,13.5,12.1,784,784,1.0,0.9934149980545044
43448_40532,43448,40532,4.359350464530866,13.5,12.1,784,784,1.0,0.9933678507804871
43449_40532,43449,40532,4.359350464530866,13.5,12.1,784,784,1.0,0.9932994246482849
43434_40532,43434,40532,4.359350464530866,13.5,12.1,784,784,1.0,0.9940608143806458
43431_40532,43431,40532,4.359350464530866,13.5,12.1,784,784,1.0,0.9940580129623413
43432_40532,43432,40532,4.359350464530866,13.5,12.1,784,782,0.9974489795918368,0.9940544366836548
43433_40532,43433,40532,4.359350464530866,13.5,12.1,784,784,1.0,0.9941337704658508
43445_40532,43445,40532,4.359350464530866,13.5,12.1,784,781,0.9961734693877551,0.9934859275817871
43444_40532,43444,40532,4.359350464530866,13.5,12.1,784,782,0.9974489795918368,0.9935302138328552
43428_40532,43428,40532,4.359350464530866,13.5,12.1,784,784,1.0,0.9939621090888977
43429_40532,43429,40532,4.359350464530866,13.5,12.1,784,784,1.0,0.9940125346183777
43421_40532,43421,40532,4.359350464530866,13.5,12.1,784,784,1.0,0.9936162829399109
43435_40532,43435,40532,4.359350464530866,13.5,12.1,784,784,1.0,0.9939930438995361
