pair_id,idx_9000nm,idx_pan,distance_m,fpa_wl0,fpa_wl1,n_matches,n_inliers,inlier_ratio,mean_conf
49725_37399,49725,37399,3.420847964575665,12.7,11.2,784,784,1.0,0.9765505194664001
49726_37399,49726,37399,3.420847964575665,12.7,11.2,784,784,1.0,0.9764556884765625
49727_37399,49727,37399,3.420847964575665,12.7,11.2,784,784,1.0,0.9754814505577087
49728_37399,49728,37399,3.420847964575665,12.7,11.2,784,784,1.0,0.975640594959259
49731_37399,49731,37399,3.420847964575665,12.7,11.2,784,784,1.0,0.9750379323959351
49732_37399,49732,37399,3.420847964575665,12.7,11.2,784,784,1.0,0.9750633835792542
49729_37399,49729,37399,3.420847964575665,12.7,11.2,784,784,1.0,0.9753919243812561
49730_37399,49730,37399,3.420847964575665,12.7,11.2,784,784,1.0,0.975665807723999
49721_37399,49721,37399,3.420847964575665,12.7,11.2,784,784,1.0,0.9765200018882751
49722_37399,49722,37399,3.420847964575665,12.7,11.2,784,784,1.0,0.9762868881225586
49723_37399,49723,37399,3.420847964575665,12.7,11.2,784,784,1.0,0.9761817455291748
49724_37399,49724,37399,3.420847964575665,12.7,11.2,784,784,1.0,0.9764421582221985
49710_37481,49710,37481,5.981364015640452,12.7,11.2,784,784,1.0,0.9746090769767761
49720_37481,49720,37481,5.981364015640452,12.7,11.2,784,784,1.0,0.9794876575469971
49709_37481,49709,37481,5.981364015640452,12.7,11.2,784,784,1.0,0.9742925763130188
49719_37481,49719,37481,5.981364015640452,12.7,11.2,784,784,1.0,0.9789221882820129
49715_37481,49715,37481,5.981364015640452,12.7,11.2,784,784,1.0,0.9773183465003967
49714_37481,49714,37481,5.981364015640452,12.7,11.2,784,784,1.0,0.9774228930473328
49713_37481,49713,37481,5.981364015640452,12.7,11.2,784,784,1.0,0.9765746593475342
49702_37481,49702,37481,5.981364015640452,12.7,11.2,784,784,1.0,0.9731992483139038
49712_37481,49712,37481,5.981364015640452,12.7,11.2,784,784,1.0,0.9755253791809082
49703_37481,49703,37481,5.981364015640452,12.7,11.2,784,784,1.0,0.9730036854743958
49704_37481,49704,37481,5.981364015640452,12.7,11.2,784,769,0.9808673469387755,0.9728370308876038
49711_37481,49711,37481,5.981364015640452,12.7,11.2,784,784,1.0,0.9755110740661621
49687_37481,49687,37481,5.981364015640452,12.7,11.2,784,784,1.0,0.9714719653129578
49686_37481,49686,37481,5.981364015640452,12.7,11.2,784,783,0.9987244897959183,0.9719439148902893
49717_37481,49717,37481,5.981364015640452,12.7,11.2,784,784,1.0,0.9781255722045898
49716_37481,49716,37481,5.981364015640452,12.7,11.2,784,784,1.0,0.9774782061576843
49688_37481,49688,37481,5.981364015640452,12.7,11.2,784,784,1.0,0.972173273563385
49694_37481,49694,37481,5.981364015640452,12.7,11.2,784,784,1.0,0.9714498519897461
49693_37481,49693,37481,5.981364015640452,12.7,11.2,784,781,0.9961734693877551,0.9713612794876099
49718_37481,49718,37481,5.981364015640452,12.7,11.2,784,784,1.0,0.9783718585968018
49708_37481,49708,37481,5.981364015640452,12.7,11.2,784,784,1.0,0.9738068580627441
49677_37481,49677,37481,5.981364015640452,12.7,11.2,784,784,1.0,0.9723731875419617
49678_37481,49678,37481,5.981364015640452,12.7,11.2,784,784,1.0,0.9726637005805969
49695_37481,49695,37481,5.981364015640452,12.7,11.2,784,782,0.9974489795918368,0.9713281393051147
49696_37481,49696,37481,5.981364015640452,12.7,11.2,784,782,0.9974489795918368,0.9718918800354004
