pair_id,idx_11000nm,idx_pan,distance_m,n_matches,n_inliers,inlier_ratio,mean_conf
40648_25454,40648,25454,5.419272245262411,784,784,1.0,0.9849771857261658
40649_25454,40649,25454,5.419272245262411,784,784,1.0,0.9850056171417236
40632_25454,40632,25454,5.419272245262411,784,784,1.0,0.9833407998085022
40633_25454,40633,25454,5.419272245262411,784,784,1.0,0.9834834337234497
40634_25454,40634,25454,5.419272245262411,784,784,1.0,0.9834073185920715
40635_25454,40635,25454,5.419272245262411,784,784,1.0,0.9834806323051453
40636_25454,40636,25454,5.419272245262411,784,784,1.0,0.9834336042404175
40637_25454,40637,25454,5.419272245262411,784,784,1.0,0.9833046197891235
40638_25454,40638,25454,5.419272245262411,784,784,1.0,0.9834131002426147
40639_25454,40639,25454,5.419272245262411,784,784,1.0,0.9836419820785522
40640_25454,40640,25454,5.419272245262411,784,784,1.0,0.9839315414428711
40641_25454,40641,25454,5.419272245262411,784,784,1.0,0.98377525806427
40642_25454,40642,25454,5.419272245262411,784,784,1.0,0.9839065670967102
40643_25454,40643,25454,5.419272245262411,784,784,1.0,0.9838899970054626
40644_25454,40644,25454,5.419272245262411,784,784,1.0,0.9840829968452454
40645_25454,40645,25454,5.419272245262411,784,784,1.0,0.9842246770858765
40646_25454,40646,25454,5.419272245262411,784,784,1.0,0.9847552180290222
40647_25454,40647,25454,5.419272245262411,784,784,1.0,0.9847605228424072
40616_25454,40616,25454,5.419272245262411,784,784,1.0,0.9829762578010559
40617_25454,40617,25454,5.419272245262411,784,784,1.0,0.9834429621696472
40618_25454,40618,25454,5.419272245262411,784,784,1.0,0.9835469722747803
40619_25454,40619,25454,5.419272245262411,784,784,1.0,0.9834069013595581
40620_25454,40620,25454,5.419272245262411,784,784,1.0,0.9832877516746521
40621_25454,40621,25454,5.419272245262411,784,784,1.0,0.9831036925315857
40622_25454,40622,25454,5.419272245262411,784,784,1.0,0.9835838675498962
40623_25454,40623,25454,5.419272245262411,784,784,1.0,0.9835889935493469
40624_25454,40624,25454,5.419272245262411,784,784,1.0,0.9837875366210938
40625_25454,40625,25454,5.419272245262411,784,784,1.0,0.9833411574363708
40626_25454,40626,25454,5.419272245262411,784,784,1.0,0.9827730655670166
40627_25454,40627,25454,5.419272245262411,784,784,1.0,0.9831143021583557
40628_25454,40628,25454,5.419272245262411,784,784,1.0,0.9830557107925415
40629_25454,40629,25454,5.419272245262411,784,784,1.0,0.9829946756362915
40630_25454,40630,25454,5.419272245262411,784,784,1.0,0.9830917119979858
40631_25454,40631,25454,5.419272245262411,784,784,1.0,0.9829119443893433
40614_25454,40614,25454,5.419272245262411,784,784,1.0,0.9827146530151367
40615_25454,40615,25454,5.419272245262411,784,784,1.0,0.9829025268554688
40871_25413,40871,25413,7.024347694522669,784,784,1.0,0.9848469495773315
40870_25413,40870,25413,7.024347694522669,784,784,1.0,0.9849657416343689
40869_25413,40869,25413,7.024347694522669,784,784,1.0,0.9848617315292358
40868_25413,40868,25413,7.024347694522669,784,784,1.0,0.9852986335754395
40867_25413,40867,25413,7.024347694522669,784,784,1.0,0.9852617383003235
40866_25413,40866,25413,7.024347694522669,784,784,1.0,0.9853119850158691
40865_25413,40865,25413,7.024347694522669,784,784,1.0,0.98536217212677
40864_25413,40864,25413,7.024347694522669,784,784,1.0,0.985670268535614
40863_25413,40863,25413,7.024347694522669,784,784,1.0,0.9856476783752441
40862_25413,40862,25413,7.024347694522669,784,784,1.0,0.9857373833656311
40861_25413,40861,25413,7.024347694522669,784,784,1.0,0.986055314540863
40860_25413,40860,25413,7.024347694522669,784,784,1.0,0.9860823750495911
40859_25413,40859,25413,7.024347694522669,784,784,1.0,0.9858831167221069
40858_25413,40858,25413,7.024347694522669,784,784,1.0,0.9858424663543701
40857_25413,40857,25413,7.024347694522669,784,784,1.0,0.985930323600769
40856_25413,40856,25413,7.024347694522669,784,784,1.0,0.9861170053482056
42101_25413,42101,25413,7.024347694522669,784,784,1.0,0.9855360984802246
42100_25413,42100,25413,7.024347694522669,784,784,1.0,0.9854183793067932
42129_25413,42129,25413,7.024347694522669,784,784,1.0,0.9864076375961304
42128_25413,42128,25413,7.024347694522669,784,784,1.0,0.9863355755805969
42127_25413,42127,25413,7.024347694522669,784,784,1.0,0.9861621260643005
42126_25413,42126,25413,7.024347694522669,784,784,1.0,0.9860076308250427
42125_25413,42125,25413,7.024347694522669,784,784,1.0,0.9858546257019043
42124_25413,42124,25413,7.024347694522669,784,784,1.0,0.9857584238052368
42123_25413,42123,25413,7.024347694522669,784,784,1.0,0.9855448603630066
42122_25413,42122,25413,7.024347694522669,784,784,1.0,0.9849205017089844
42121_25413,42121,25413,7.024347694522669,784,784,1.0,0.9851799607276917
42120_25413,42120,25413,7.024347694522669,784,783,0.9987244897959183,0.98540198802948
42119_25413,42119,25413,7.024347694522669,784,783,0.9987244897959183,0.9852011799812317
42118_25413,42118,25413,7.024347694522669,784,782,0.9974489795918368,0.9848657846450806
42117_25413,42117,25413,7.024347694522669,784,784,1.0,0.9849470257759094
40872_25413,40872,25413,7.024347694522669,784,784,1.0,0.9848231673240662
42037_25413,42037,25413,7.024347694522669,784,784,1.0,0.984399676322937
42036_25413,42036,25413,7.024347694522669,784,784,1.0,0.9845404624938965
42067_25413,42067,25413,7.024347694522669,784,784,1.0,0.9842722415924072
42066_25413,42066,25413,7.024347694522669,784,780,0.9948979591836735,0.984455943107605
42065_25413,42065,25413,7.024347694522669,784,780,0.9948979591836735,0.984027624130249
42064_25413,42064,25413,7.024347694522669,784,783,0.9987244897959183,0.9842079281806946
