pair_id,idx_11000nm,idx_pan,distance_m,n_matches,n_inliers,inlier_ratio,mean_conf
40648_25454,40648,25454,5.419272245262411,3,0,0.0,0.2832901179790497
40649_25454,40649,25454,5.419272245262411,9,7,0.7777777777777778,0.26219865679740906
40632_25454,40632,25454,5.419272245262411,27,12,0.4444444444444444,0.2521284520626068
40633_25454,40633,25454,5.419272245262411,24,13,0.5416666666666666,0.2875731289386749
40634_25454,40634,25454,5.419272245262411,31,15,0.4838709677419355,0.3183284103870392
40635_25454,40635,25454,5.419272245262411,20,11,0.55,0.27362149953842163
40636_25454,40636,25454,5.419272245262411,22,12,0.5454545454545454,0.33407527208328247
40637_25454,40637,25454,5.419272245262411,28,15,0.5357142857142857,0.31068092584609985
40638_25454,40638,25454,5.419272245262411,38,15,0.39473684210526316,0.29425743222236633
40639_25454,40639,25454,5.419272245262411,34,18,0.5294117647058824,0.28833723068237305
40640_25454,40640,25454,5.419272245262411,28,14,0.5,0.2843644917011261
40641_25454,40641,25454,5.419272245262411,41,22,0.5365853658536586,0.2988297939300537
40642_25454,40642,25454,5.419272245262411,22,13,0.5909090909090909,0.29606759548187256
40643_25454,40643,25454,5.419272245262411,13,7,0.5384615384615384,0.3039640486240387
40644_25454,40644,25454,5.419272245262411,19,13,0.6842105263157895,0.29418033361434937
40645_25454,40645,25454,5.419272245262411,13,7,0.5384615384615384,0.2831461727619171
40646_25454,40646,25454,5.419272245262411,5,0,0.0,0.30341362953186035
40647_25454,40647,25454,5.419272245262411,6,0,0.0,0.26753196120262146
40616_25454,40616,25454,5.419272245262411,9,7,0.7777777777777778,0.2596540153026581
40617_25454,40617,25454,5.419272245262411,13,7,0.5384615384615384,0.23792532086372375
40618_25454,40618,25454,5.419272245262411,28,15,0.5357142857142857,0.28707775473594666
40619_25454,40619,25454,5.419272245262411,38,21,0.5526315789473685,0.29012247920036316
40620_25454,40620,25454,5.419272245262411,34,17,0.5,0.2872997224330902
40621_25454,40621,25454,5.419272245262411,36,20,0.5555555555555556,0.31323525309562683
40622_25454,40622,25454,5.419272245262411,31,16,0.5161290322580645,0.28560981154441833
40623_25454,40623,25454,5.419272245262411,28,16,0.5714285714285714,0.29680272936820984
40624_25454,40624,25454,5.419272245262411,18,11,0.6111111111111112,0.2672474682331085
40625_25454,40625,25454,5.419272245262411,4,0,0.0,0.22726726531982422
40626_25454,40626,25454,5.419272245262411,15,10,0.6666666666666666,0.25203147530555725
40627_25454,40627,25454,5.419272245262411,14,8,0.5714285714285714,0.26640835404396057
40628_25454,40628,25454,5.419272245262411,20,10,0.5,0.2500549256801605
40629_25454,40629,25454,5.419272245262411,15,10,0.6666666666666666,0.2557494044303894
40630_25454,40630,25454,5.419272245262411,16,10,0.625,0.2515060305595398
40631_25454,40631,25454,5.419272245262411,29,14,0.4827586206896552,0.2622060477733612
40614_25454,40614,25454,5.419272245262411,13,7,0.5384615384615384,0.27034804224967957
40615_25454,40615,25454,5.419272245262411,8,7,0.875,0.269386887550354
40871_25413,40871,25413,7.024347694522669,31,17,0.5483870967741935,0.2883518636226654
40870_25413,40870,25413,7.024347694522669,20,12,0.6,0.275917112827301
40869_25413,40869,25413,7.024347694522669,37,22,0.5945945945945946,0.259664922952652
40868_25413,40868,25413,7.024347694522669,27,15,0.5555555555555556,0.29007554054260254
40867_25413,40867,25413,7.024347694522669,21,13,0.6190476190476191,0.2809114158153534
40866_25413,40866,25413,7.024347694522669,24,14,0.5833333333333334,0.276528537273407
40865_25413,40865,25413,7.024347694522669,32,19,0.59375,0.27738967537879944
40864_25413,40864,25413,7.024347694522669,47,21,0.44680851063829785,0.28097429871559143
40863_25413,40863,25413,7.024347694522669,50,26,0.52,0.2776745557785034
40862_25413,40862,25413,7.024347694522669,57,28,0.49122807017543857,0.2991718053817749
